"Date","Suburb","Address","Price","Baths","Beds","DistanceTime.min.","Distance.km.","Status"
"27 Mar 2019","Broken Hill","97 Wills Street, Broken Hill","$130,000"," 1"," 3",747.5,1126.84,"Sold"
"27 Mar 2019","Dungog","Cabin 10 2940 Salisbury Road, Salisbury via, Dungog","$110,000"," 1"," 2",149.95,204.155,"Sold"
"27 Mar 2019","Broken Hill","68 Patton Street, Broken Hill","$91,000"," 1"," 2",747.5,1126.84,"Sold"
"26 Mar 2019","Temora","Address available on request, Temora","$170,000"," 1"," 2",261.466666666667,420.465,"Sold"
"26 Mar 2019","Barmedman","Address available on request, Barmedman","$168,000"," 2"," 5",285.633333333333,456.329,"Sold"
"26 Mar 2019","Junee","29 French St, Junee","$149,000"," 1"," 2",267.116666666667,435.263,"Sold"
"26 Mar 2019","Quirindi","4 Pittsford Street, Quirindi","$142,000"," 1"," 2",242.033333333333,339.247,"Sold"
"26 Mar 2019","Gilgandra","25 Dudley Street, Gilgandra","$135,000"," 1"," 4",311.166666666667,422.231,"Sold"
"26 Mar 2019","Melinga","21 Station Street, Melinga","$130,000"," 1"," 1",212.9,318.386,"Sold"
"26 Mar 2019","Ardlethan","66 Warri Street, Ardlethan","$78,000"," 1"," 1",305.05,487.717,"Sold"
"26 Mar 2019","Broken Hill","420 Lane Lane, Broken Hill","$50,000"," 1"," 1",747.5,1126.84,"Sold"
"26 Mar 2019","Kenthurst","4 Clarke Way, Kenthurst","$20,000"," 4"," 4",28.45,19.378,"Sold"
"26 Mar 2019","Alexandria","136 Henderson Road, Alexandria","$20,000"," 1"," 1",39.7166666666667,25.314,"Sold"
"25 Mar 2019","Armidale","14 Bundarra Road, Armidale","$158,000"," 1"," 2",341.633333333333,465.783,"Sold"
"23 Mar 2019","Broken Hill","55 - 59 Gypsum Street, Broken Hill","$155,000"," 1"," 1",747.5,1126.84,"Sold"
"22 Mar 2019","Narrabri","11 Purcell Drive, Narrabri","$130,000"," 1"," 3",355.616666666667,515.023,"Sold"
"22 Mar 2019","Brooms Head","Site 94 Brooms Head Caravan Park, Off Ocean Road, Brooms Head","$75,000"," 1"," 1",444.616666666667,665.172,"Sold"
"22 Mar 2019","Broken Hill","539 Lane Street, Broken Hill","$42,000"," 1"," 2",747.5,1126.84,"Sold"
"21 Mar 2019","Junee","2 Gallipoli Avenue, Junee","$170,000"," 1"," 3",267.116666666667,435.263,"Sold"
"21 Mar 2019","Wellington","28 Marsh Street, Wellington","$160,000"," 1"," 4",258.633333333333,332.55,"Sold"
"21 Mar 2019","Narrandera","36 Audley Street, Narrandera","$130,000"," 1"," 3",334.233333333333,527.307,"Sold"
