"","Suburb","Address","Price","Baths","Beds","DistanceTime.min.","Distance.km."
"1172","Coonamble","1 Derribong St, Trangie","$145,000"," 1"," 3",371.333333333333,517.207
"1173","Broken Hill","24 William Street, Inverell","$160,000"," 1"," 2",747.5,1126.84
"1174","South Grafton","Address available on request, Mungindi","$72,500 Neg"," 1"," 3",380.516666666667,597.104
"1175","Turramurra","17 Baker Street, Bundarra","$159,000"," 1"," 5",28.3,23.022
"1176","Broken Hill","55  Webb Street, Parkes","$95,000"," 1"," 1",747.5,1126.84
"1177","Coonamble","28 Audley Street, Narrandera","Awaiting Price Guide"," 2"," 3",371.333333333333,517.207
"1178","Broken Hill","1/4 Old Barracks Lane, Young","$175,000"," 1"," 2",747.5,1126.84
"1179","Scone","48 Alma Street, Wee Waa","$160,000"," 1"," 3",191.116666666667,265.882
"1180","Kooringal","84 DANDALOO STREET, Trangie","PRICE REDUCED $143,000"," 2"," 3",275,455.478
"1181","Broken Hill","189 Lane Street, Broken Hill","Price on Application"," 1"," 3",747.5,1126.84
"1182","Port Macquarie","6 Mackeral Street, Mumbil","$159,500"," 1"," 3",245.05,374.344
"1183","South Grafton","18 Diamond Street, Tingha","$139,000"," 1"," 3",380.516666666667,597.104
"1184","Winston Hills","19 Murray Street, Cobar","$155,000"," 1"," 3",11.8333333333333,8.122
"1185","Broken Hill","18 Diamond Street, Tingha","$139,000"," 1"," 3",747.5,1126.84
"1186","Kelso","21 Woodiwiss Avenue, Cobar","$135,000"," 1"," 3",147.9,180.4
"1187","Springfield","18 Diamond Street, Tingha","$139,000"," 1"," 3",66.4333333333333,70.3
"1188","Cumnock","17 Delander Crescent, Moree","$139,000"," 1"," 2",234.65,297.163
"1189","Oberon","55 Knox Street, Broken Hill","$95,000"," 1"," 3",152.283333333333,172.362
"1190","Broken Hill","18 Momalong Street, Berrigan","$125,000.00"," 1"," 3",747.5,1126.84
"1191","Broken Hill","82 Pierce Street, Wellington","$134,950.00"," 1"," 3",747.5,1126.84
"1192","Broken Hill","86 Lakeview Avenue, Sunset Strip, Menindee","$62,000"," 1"," 3",747.5,1126.84
"1193","Aberdeen","279 Morish Street, Broken Hill","$130,000"," 1"," 3",178.466666666667,251.816
"1194","Lockhart","16 Frazer Street, Ashford","$100,000"," 1"," 3",319.516666666667,519.498
"1195","Pooncarie","58 Lakeview Ave, Sunset Strip","$89,000"," 2"," 3",703,1137.758
"1196","Broken Hill","12 Bomera Street, Premer","$170,000"," 1"," 4",747.5,1126.84
"1197","Coonamble","77 Hill Street, Parkes","$200,000"," 1"," 3",371.333333333333,517.207
"1198","Broken Hill","54 Church St, Brewarrina","Asking Price $135,000"," 1"," 2",747.5,1126.84
"1199","South Grafton","20 Coonamble Street, Gulargambone","$95,000 - OR MAKE AN OFFER"," 1"," 4",380.516666666667,597.104
"1200","Turramurra","17 DELANDER CRESCENT, Moree","$139,000 - PRICE REDUCED!"," 1"," 2",28.3,23.022
