"","Suburb","Address","Price","Baths","Beds","DistanceTime.min.","Distance.km."
"435","Broken Hill","150 Neill Street, Harden","$95,000"," 1"," 2",747.5,1126.84
"436","Kelso","153 Taylor Street, Glen Innes","$170,000"," 1"," 2",147.9,180.4
"437","Springfield","26 Swimming Creek Road, Nambucca Heads","$165,000"," 1"," 2",66.4333333333333,70.3
"438","Cumnock","16 Chester Street, Inverell","$175,000"," 1"," 3",234.65,297.163
"439","Oberon","378 Warialda Street, Moree","$159,000"," 1"," 4",152.283333333333,172.362
"440","Broken Hill","95 Hunter Street, Glen Innes","$148,000"," 1"," 2",747.5,1126.84
"441","Broken Hill","48 CHURCH STREET, Manilla","$160,000"," 1"," 2",747.5,1126.84
"442","Broken Hill","45 Dalgetty Street, Narrandera","$159,000"," 2"," 3",747.5,1126.84
"443","Aberdeen","303 Wood St, Deniliquin","Reduced NOW $135,000"," 1"," 3",178.466666666667,251.816
"444","Lockhart","36 Hunter Terrace, Muswellbrook","FIRST NATIONAL $130,000"," 1"," 4",319.516666666667,519.498
"445","Pooncarie","104 Maughan Street, Wellington","$124,500"," 1"," 3",703,1137.758
"446","Broken Hill","85 Bendee Street, Barellan","Under Contract"," 1"," 3",747.5,1126.84
"447","Coonamble","68B Thornton Street, Wellington","$110,000"," 1"," 3",371.333333333333,517.207
"448","Broken Hill","Lot 15 Murray Riverside Village, Quicks Rd, Tocumwal","$99,000"," 1"," 3",747.5,1126.84
"449","South Grafton","13 Charles Street, Balldale","NEW PRICE: $185,000"," 1"," 3",380.516666666667,597.104
"450","Turramurra","86/2 Philp Parade, Tweed Heads South","$160,000 to $170,000"," 1"," 2",28.3,23.022
"451","Broken Hill","39/85 Derrima Road, Queanbeyan","$145,000-$160,000"," 1"," 1",747.5,1126.84
"452","Coonamble","106 Derribong Street, Peak Hill","$143,000"," 2"," 4",371.333333333333,517.207
"453","Broken Hill","125/26 Swimming Creek Rd, Nambucca Heads","$125,000"," 1"," 2",747.5,1126.84
"454","Scone","56 Peach Street, Mandurama","$90,000"," 1"," 1",191.116666666667,265.882
"455","Kooringal","401 Banna Avenue, Griffith","$50,000"," 1"," 1",275,455.478
"456","Broken Hill","38 Bruce Street, Tolland","$169,000"," 1"," 3",747.5,1126.84
"457","Port Macquarie","12 Clarke St, Coonabarabran","$145,000"," 1"," 3",245.05,374.344
"458","South Grafton","54 Pioneer Street, Batlow","$115000"," 1"," 1",380.516666666667,597.104
"459","Winston Hills","183 Newton Lane, Broken Hill","$75,000"," 1"," 3",11.8333333333333,8.122
"460","Broken Hill","5 Gardiner st, Baradine","$190,000"," 1"," 4",747.5,1126.84
"461","Kelso","14 Old Keera Road, Bingara","$175,000"," 1"," 1",147.9,180.4
"462","Springfield","12 Derby Street, Harden","$175,000"," 1"," 3",66.4333333333333,70.3
"463","Cumnock","6 Nelson Street, Cowra","$185,000"," 1"," 3",234.65,297.163
"464","Oberon","44 Tingira Street, Tamworth","$167,000"," 1"," 3",152.283333333333,172.362
"465","Broken Hill","40 Cossa Street, Tamworth","$165,000"," 1"," 3",747.5,1126.84
"466","Broken Hill","34/33 Karalta Road, Erina","$155,000"," 1"," 2",747.5,1126.84
"467","Broken Hill","110 Mahonga Street, Jerilderie","$150,000.00"," 1"," 2",747.5,1126.84
"468","Aberdeen","1933 Federation Way, Daysdale","$150000 ono"," 1"," 2",178.466666666667,251.816
"469","Lockhart","Address available on request, Halekulani","$139,950"," 1"," 1",319.516666666667,519.498
"470","Pooncarie","173 Adams Street, Wentworth","$135,000.00"," 1"," 2",703,1137.758
"471","Broken Hill","Address available on request, Stroud","Awaiting Price Guide"," 1"," 4",747.5,1126.84
"472","Coonamble","63 North Street, West Kempsey","$149,000 - NEW PRICE!"," 1"," 4",371.333333333333,517.207
"473","Broken Hill","12 Bogan Street, Forbes","$130,000"," 1"," 1",747.5,1126.84
"474","South Grafton","49 Cherry  Street, Mandurama","$165,000"," 1"," 2",380.516666666667,597.104
"475","Turramurra","2 Weigall Street, Barraba","$100,000"," 1"," 2",28.3,23.022
"476","Broken Hill","27 Craigie Street, Delegate","$170,000"," 2"," 3",747.5,1126.84
"477","Coonamble","21 Cassiterite Crescent, Ardlethan","$135,000"," 1"," 3",371.333333333333,517.207
"478","Broken Hill","30 Albert Street, South Kempsey","$130,000"," 1"," 3",747.5,1126.84
"479","Scone","20 Wellington Street, Cowra","$190,000"," 1"," 3",191.116666666667,265.882
"480","Kooringal","8-10 Branksome Street, Cassilis","$172,000"," 1"," 3",275,455.478
"481","Broken Hill","Site 40 Hibiscus Gar 491 River Street, West Ballina","$165,000"," 1"," 2",747.5,1126.84
"482","Port Macquarie","11 Beaury Street, Urbenville","$159,000"," 1"," 3",245.05,374.344
"483","South Grafton","Address available on request, Wellington","$135,000"," 1"," 3",380.516666666667,597.104
"484","Winston Hills","1A Mayors Avenue, Werris Creek","$122,000"," 1"," 3",11.8333333333333,8.122
"485","Broken Hill","17,19, 21 BRADLEY STREET, Grenfell","$38,000"," 1"," 1",747.5,1126.84
"486","Kelso","72 Jellicoe Street, Temora","$165,000  Price Reduced"," 1"," 2",147.9,180.4
"487","Springfield","152 Gaffney Street, Broken Hill","$119,000"," 1"," 3",66.4333333333333,70.3
"488","Cumnock","18 Ballantyne Crescent, Deniliquin","$100,000"," 1"," 3",234.65,297.163
"489","Oberon","67 Pelican Park, Nambucca Heads","$165,000"," 1"," 1",152.283333333333,172.362
"490","Broken Hill","50/16 Anne Lane, Chinderah","Reduced over $10,000, now $159,000"," 1"," 2",747.5,1126.84
"491","Broken Hill","52/16 Anne Lane, Chinderah","Reduced $25,000 now $125,000 must be Sold"," 1"," 2",747.5,1126.84
"492","Broken Hill","13 Mackrell Street, Ungarie","ASKING PRICE $88,000"," 1"," 3",747.5,1126.84
"493","Aberdeen","14 Argyle Street, Narrandera","$165,000"," 1"," 3",178.466666666667,251.816
"494","Lockhart","7 Murray Street, Holbrook","$125,000"," 1"," 2",319.516666666667,519.498
"495","Pooncarie","49 Berrembed Street, Grong Grong","Reduced $75,000"," 1"," 3",703,1137.758
"496","Broken Hill","62 Dover Street, Moree","$170,000"," 2"," 3",747.5,1126.84
"497","Coonamble","26 Bourke Road, Leeton","$165,000"," 1"," 3",371.333333333333,517.207
"498","Broken Hill","59 Punt Road, Barham","$160,000"," 1"," 2",747.5,1126.84
"499","South Grafton","10 Eurimie Street, Coonamble","$150,000"," 1"," 2",380.516666666667,597.104
"500","Turramurra","Address available on request, Warren","$123,000"," 1"," 3",28.3,23.022
"501","Broken Hill","89 BOGAN STREET, Parkes","$175,000"," 1"," 2",747.5,1126.84
"502","Coonamble","45 Old Coast Road, Nambucca Heads","$172,500"," 1"," 2",371.333333333333,517.207
"503","Broken Hill","74 Macauley, Deniliquin","For Sale $179,000"," 1"," 2",747.5,1126.84
"504","Scone","96 High Street, Warialda","$165,000"," 1"," 2",191.116666666667,265.882
"505","Kooringal","Y8/52 Wellington Dr, Nambucca Heads","$159,000"," 1"," 2",275,455.478
"506","Broken Hill","3 Denman Street, Cobar","$155,000"," 1"," 4",747.5,1126.84
"507","Port Macquarie","65 Charles St, Iluka","$160,000"," 1"," 1",245.05,374.344
"508","South Grafton","20 Ann St, Coonabarabran","$130,000"," 1"," 2",380.516666666667,597.104
"509","Winston Hills","67 Warialda Road, Inverell","$165,000"," 1"," 2",11.8333333333333,8.122
"510","Broken Hill","32  FITZROY STREET, Barraba","$120,000"," 1"," 3",747.5,1126.84
"511","Kelso","142 Whiteley Street, Dunedoo","$175,000"," 1"," 3",147.9,180.4
"512","Springfield","69 Waterview Street, Ganmain","$169,950"," 1"," 4",66.4333333333333,70.3
"513","Cumnock","R2 Murray Riverside Village, Quicks Rd, Tocumwal","$150,000"," 2"," 3",234.65,297.163
"514","Oberon","41 Drummond Street, Moree","$149,500"," 1"," 3",152.283333333333,172.362
"515","Broken Hill","Lot 24 Gwabegar Road, Kenebri","$30,000"," 1"," 2",747.5,1126.84
"516","Broken Hill","5 Little Arthur Street, Wellington","$175,000"," 2"," 3",747.5,1126.84
"517","Broken Hill","67 Warialda Road, Inverell","$169,000"," 1"," 2",747.5,1126.84
"518","Aberdeen","340 Boston Street, Moree","$152,000"," 1"," 3",178.466666666667,251.816
"519","Lockhart","32 La Perouse Street, Wakool","$170,000"," 1"," 3",319.516666666667,519.498
"520","Pooncarie","79 Tobruk Avenue, Muswellbrook","$139,000"," 1"," 3",703,1137.758
"521","Broken Hill","15 Blackwood Street, Leeton","$115,000"," 2"," 4",747.5,1126.84
"522","Coonamble","33 Caswell Street, Peak Hill","$98,000"," 1"," 3",371.333333333333,517.207
"523","Broken Hill","Y12/52 Wellington Dr, Nambucca Heads","NEW PRICE $159,500"," 1"," 1",747.5,1126.84
"524","South Grafton","7 Oxley Place, Inverell","$155,000"," 1"," 3",380.516666666667,597.104
"525","Turramurra","9 Oxley Place, Inverell","$150,000"," 1"," 3",28.3,23.022
"526","Broken Hill","4 Charles Street, Wellington","$149,000"," 1"," 3",747.5,1126.84
"527","Coonamble","47 Main Street, Willawarrin","$85,000"," 1"," 1",371.333333333333,517.207
"528","Broken Hill","67 Warialda Road, Inverell","$169,000"," 1"," 2",747.5,1126.84
"529","Scone","10 Chisholm St, Khancoban","$160,000"," 1"," 3",191.116666666667,265.882
"530","Kooringal","12A/382 Bilambil Road, Bilambil","$149,000"," 1"," 2",275,455.478
"531","Broken Hill","67/46 Wommin Bay Road, Kingscliff","$129,000"," 1"," 2",747.5,1126.84
"532","Port Macquarie","123-125 Murray Street, Finley","$119,000 Plus GST"," 1"," 1",245.05,374.344
"533","South Grafton","72/586 River Street, Ballina","$68,000"," 1"," 1",380.516666666667,597.104
"534","Winston Hills","E4/1 Gerald Street, Belmont","Price Guide $59,500"," 1"," 2",11.8333333333333,8.122
"535","Broken Hill","194 Cathundril Street, Narromine","$149,000 - $159,000"," 1"," 2",747.5,1126.84
"536","Kelso","91 Church Street, Glen Innes","$168,000"," 1"," 3",147.9,180.4
"537","Springfield","12 Gossamer Street, Leeton","$135,000"," 2"," 4",66.4333333333333,70.3
"538","Cumnock","2 New Street, Wellington","$145,000"," 1"," 2",234.65,297.163
"539","Oberon","8 Little Hunter Street, Gunnedah","$139,000"," 1"," 1",152.283333333333,172.362
"540","Broken Hill","143/186 Chinderah Bay Road, Chinderah","Reduced $20,000 must be Sold, now $165,000"," 1"," 2",747.5,1126.84
"541","Broken Hill","103 Winton Street, Tumbarumba","$155,000"," 1"," 3",747.5,1126.84
"542","Broken Hill","169/145 kennedy drive, Tweed Heads","$149,000"," 1"," 2",747.5,1126.84
"543","Aberdeen","143/145 Kennedy Drive, Tweed Heads","$119,000"," 1"," 2",178.466666666667,251.816
"544","Lockhart","31 MULGA STREET, Barellan","REDUCED AGAIN TO $65,000"," 1"," 3",319.516666666667,519.498
"545","Pooncarie","20 BOUNDARY STREET, Moree","$169,000"," 1"," 2",703,1137.758
"546","Broken Hill","62 Boundary Road, Narrandera","Reduced $149,000"," 1"," 3",747.5,1126.84
"547","Coonamble","5 Wall Avenue, Cootamundra","$159,000"," 1"," 3",371.333333333333,517.207
"548","Broken Hill","99 Edward Street, Moree","$99,000"," 1"," 3",747.5,1126.84
"549","South Grafton","30 Sainsberry Street, Moulamein","$97,000"," 1"," 2",380.516666666667,597.104
"550","Turramurra","Site 1 Alstonville Leisure Village Bruxner Highway, Alstonville","$89,000"," 1"," 2",28.3,23.022
"551","Broken Hill","2 Rosemary Street, Gunnedah","$170,000"," 1"," 3",747.5,1126.84
"552","Coonamble","30 Alice Street, Moree","$169,000"," 2"," 2",371.333333333333,517.207
"553","Broken Hill","9 Gallop Avenue, Parkes","$165,000"," 1"," 3",747.5,1126.84
"554","Scone","19-21 Tudor Street, Bourke","$120,000"," 2"," 3",191.116666666667,265.882
"555","Kooringal","7 Farnell Street, Mendooran","$110,000"," 1"," 3",275,455.478
"556","Broken Hill","39/333 Cessnock Road, Gillieston Heights","$95,000"," 1"," 1",747.5,1126.84
"557","Port Macquarie","45 Flinders Street, Wakool","$69,000"," 1"," 2",245.05,374.344
"558","South Grafton","107 Church Street, Glen Innes","$175,000"," 1"," 2",380.516666666667,597.104
"559","Winston Hills","115 TARAGALA STREET, Cowra","$170,000"," 2"," 3",11.8333333333333,8.122
"560","Broken Hill","71/186 Sunrise Avenue, Halekulani","$165,500"," 1"," 2",747.5,1126.84
"561","Kelso","13 Frazer Street, Ashford","$100,000"," 1"," 2",147.9,180.4
"562","Springfield","49/491 River Street, Ballina","$99,000"," 1"," 2",66.4333333333333,70.3
"563","Cumnock","24 Ivor Street, Henty","Awaiting Price Guide"," 1"," 4",234.65,297.163
"564","Oberon","30 Robertson Street, Barmedman","$160,000"," 2"," 3",152.283333333333,172.362
"565","Broken Hill","Address available on request, Mumbil","$159,500"," 1"," 2",747.5,1126.84
"566","Broken Hill","98 Kalinda, Bar Point","$150,000"," 1"," 1",747.5,1126.84
"567","Broken Hill","29 Geddes Street, Warialda","$135,000"," 1"," 3",747.5,1126.84
"568","Aberdeen","2/30 Willow Street, Leeton","$134,000"," 1"," 2",178.466666666667,251.816
"569","Lockhart","5 Midkin Street, Garah","Reduced by $10,000 to $120,000"," 1"," 3",319.516666666667,519.498
"570","Pooncarie","26 Belah Street, Rand","$89,500"," 1"," 3",703,1137.758
"571","Broken Hill","381 Boston Street, Moree","$149,000"," 1"," 3",747.5,1126.84
"572","Coonamble","24 Frederica Street, Narrandera","$139,000"," 1"," 3",371.333333333333,517.207
"573","Broken Hill","58 Baratta Street, Moulamein","$127,000"," 1"," 3",747.5,1126.84
"574","South Grafton","63 Kelly St, Tocumwal","$174,000"," 1"," 3",380.516666666667,597.104
"575","Turramurra","32 Isabel Street, Corowa","$125,000"," 1"," 3",28.3,23.022
"576","Broken Hill","57 Milthorpe Street, Oaklands","$109,000"," 1"," 2",747.5,1126.84
"577","Coonamble","55 Mahonga Street, Jerilderie","$159000.00"," 1"," 3",371.333333333333,517.207
"578","Broken Hill","6 Warraweena St, Bourke","$120,000"," 1"," 3",747.5,1126.84
"579","Scone","35 Bullinda Street, Dunedoo","$115,000"," 1"," 2",191.116666666667,265.882
"580","Kooringal","160 Macquarie St, Glen Innes","$110,000"," 1"," 3",275,455.478
"581","Broken Hill","13 Poulton Street, Ashmont","$160,000"," 1"," 3",747.5,1126.84
"582","Port Macquarie","385 CADELL STREET, Hay","$145,000"," 1"," 3",245.05,374.344
"583","South Grafton","5 Station Street, Gilgandra","$140,000"," 1"," 4",380.516666666667,597.104
"584","Winston Hills","59 Wee Waa Street, Boggabri","$140,000"," 1"," 1",11.8333333333333,8.122
"585","Broken Hill","239 Cummins Lane, Broken Hill","$115,000"," 1"," 2",747.5,1126.84
"586","Kelso","10 Lawrence Street, Cootamundra","$138,000"," 1"," 2",147.9,180.4
"587","Springfield","15/215 Prince Street, Grafton","$135,000"," 1"," 1",66.4333333333333,70.3
"588","Cumnock","217 Patton Street, Broken Hill","$126,000"," 1"," 2",234.65,297.163
"589","Oberon","36 586 River Street, Ballina","$115,000"," 1"," 1",152.283333333333,172.362
"590","Broken Hill","47 Ivor Street, Henty","$125,000"," 1"," 3",747.5,1126.84
"591","Broken Hill","4/277 Harfleur St, Deniliquin","For Sale $179,000"," 1"," 2",747.5,1126.84
"592","Broken Hill","3 Stenhouse Street, Condobolin","Awaiting Price Guide"," 1"," 3",747.5,1126.84
"593","Aberdeen","15 Savoy Street, Barraba","$145,000"," 2"," 4",178.466666666667,251.816
"594","Lockhart","4/356 Wood St, Deniliquin","For Sale $149,000"," 1"," 2",319.516666666667,519.498
"595","Pooncarie","Site 40 Laurieton Lakefront Caravan Park, Lakewood","$99,950"," 1"," 2",703,1137.758
"596","Broken Hill","21 Short Street, Glen Innes","$97 000"," 2"," 4",747.5,1126.84
"597","Coonamble","7/345 HENRY STREET, Deniliquin","$135,000"," 1"," 2",371.333333333333,517.207
"598","Broken Hill","144 Ferguson Street, Glen Innes","$170 000"," 1"," 3",747.5,1126.84
"599","South Grafton","6-8 Namoi Street, Boree Creek","$169,000"," 1"," 3",380.516666666667,597.104
"600","Turramurra","52 William Street, Quirindi","$165,000"," 1"," 3",28.3,23.022
"601","Broken Hill","35 Arthur Street, Narrandera","Reduced $155,000"," 1"," 4",747.5,1126.84
"602","Coonamble","37-39 Hill Street, Ganmain","$135,000"," 1"," 1",371.333333333333,517.207
"603","Broken Hill","41 Baranbar Street, Narrabri","$179,000"," 1"," 3",747.5,1126.84
"604","Scone","15 Agate Street, Tingha","$99,000"," 1"," 2",191.116666666667,265.882
"605","Kooringal","79 WARIALDA STREET, Pallamallawa","$80,000"," 1"," 2",275,455.478
"606","Broken Hill","104 Thompson Street, Cootamundra","$149,000"," 1"," 3",747.5,1126.84
"607","Port Macquarie","153 Long Street, Warialda","$115,000"," 1"," 1",245.05,374.344
"608","South Grafton","129 Anson Street, Bourke","$78,000"," 1"," 4",380.516666666667,597.104
"609","Winston Hills","8 Elizabeth Street, Culcairn","$120,000"," 1"," 3",11.8333333333333,8.122
"610","Broken Hill","28 Wilga Street, Coonamble","$80,000 ONO"," 1"," 2",747.5,1126.84
"611","Kelso","30 Southey Street, Jerilderie","$120,000"," 1"," 3",147.9,180.4
"612","Springfield","69 Anne Street, Moree","$65,000"," 1"," 3",66.4333333333333,70.3
"613","Cumnock","6 Beryl Lane, Broken Hill","$129,000"," 1"," 2",234.65,297.163
"614","Oberon","74-76 Carrington Street, Woodstock","$149,000"," 1"," 2",152.283333333333,172.362
"615","Broken Hill","62 Adelaide Street, Moree","$79,000"," 1"," 3",747.5,1126.84
"616","Broken Hill","21 Jean Street, Wellington","$169,000"," 1"," 2",747.5,1126.84
"617","Broken Hill","527 Lane Lane, Broken Hill","$89,000"," 1"," 3",747.5,1126.84
"618","Aberdeen","11 Court Street, Bundarra","$119,000"," 1"," 2",178.466666666667,251.816
"619","Lockhart","37/158 Dry Dock Road, Tweed Heads South","Reduced $5,000 must be Sold, now $64,000"," 1"," 1",319.516666666667,519.498
"620","Pooncarie","10-12 DE BOOS STREET, Barmedman","$170,000"," 1"," 4",703,1137.758
"621","Broken Hill","7/45 Old Coast Road, Nambucca Heads","NEW PRICE $169,000"," 1"," 2",747.5,1126.84
"622","Coonamble","6 Nuralda Place, Cooma","$159,000"," 1"," 2",371.333333333333,517.207
"623","Broken Hill","19 ROBERTSON CRESCENT, Deniliquin","$120,000"," 1"," 3",747.5,1126.84
"624","South Grafton","71 Hope Street, Warialda","$90,000"," 1"," 2",380.516666666667,597.104
"625","Turramurra","71B Hope Street, Warialda","$70,000"," 1"," 3",28.3,23.022
"626","Broken Hill","11 Adelaide Street, Moree","$130,000"," 1"," 4",747.5,1126.84
"627","Coonamble","8 Mackrell Street, Ungarie","REDUCED $100,000 GST INCLUSIVE"," 1"," 1",371.333333333333,517.207
"628","Broken Hill","263 Patton Street, Broken Hill","$89,000"," 1"," 3",747.5,1126.84
"629","Scone","56 Tallimba Street, Tallimba","REDUCED $85,000 GST INC."," 1"," 1",191.116666666667,265.882
"630","Kooringal","126 Dewhurst Street, Werris Creek","$149,000"," 1"," 4",275,455.478
"631","Broken Hill","38 Oak Street, Moree","$120,000"," 1"," 3",747.5,1126.84
"632","Port Macquarie","39 Anzac Parade, Muswellbrook","$175,000"," 1"," 3",245.05,374.344
"633","South Grafton","14/149 Hume Street, Goulburn","$159,000"," 1"," 2",380.516666666667,597.104
"634","Winston Hills","127 Oakham Street, Boggabri","$155,000"," 1"," 4",11.8333333333333,8.122
"635","Broken Hill","6 Myrangle Street, Yeoval","$149,000"," 1"," 4",747.5,1126.84
"636","Kelso","39 Railway Avenue, Leeton","$105,000"," 1"," 2",147.9,180.4
"637","Springfield","3 & 5 Garnet Street, Tingha","Auction"," 1"," 3",66.4333333333333,70.3
"638","Cumnock","2 Tumut Plains Road, Tumut","$135,000"," 1"," 2",234.65,297.163
"639","Oberon","83 Hill Street, Broken Hill","$95,000"," 1"," 3",152.283333333333,172.362
"640","Broken Hill","92 Balfour Street, Culcairn","$145,000"," 1"," 3",747.5,1126.84
"641","Broken Hill","97 Boston Street, Moree","$95,000"," 1"," 2",747.5,1126.84
"642","Broken Hill","12 Glen St, Bourke","120000"," 1"," 3",747.5,1126.84
"643","Aberdeen","97 BOSTON STREET, Moree","$95,000"," 1"," 2",178.466666666667,251.816
"644","Lockhart","154 Punch Street, Gundagai","$399,000"," 1"," 3",319.516666666667,519.498
"645","Pooncarie","30 Alice Street, Moree","$169,000"," 2"," 2",703,1137.758
"646","Broken Hill","5 Lachlan Street, Yeoval","$120,000"," 1"," 2",747.5,1126.84
"647","Coonamble","27 Queen Street, Collarenebri","$105,000 - $108,000"," 1"," 4",371.333333333333,517.207
"648","Broken Hill","116/4 Woodrow Place, Figtree","$130,000"," 1"," 2",747.5,1126.84
"649","South Grafton","12 Allan Cunningham Highway, Warialda Rail","$119,000"," 1"," 2",380.516666666667,597.104
"650","Turramurra","14 Boland Drive, Moree","$145,000"," 1"," 3",28.3,23.022
"651","Broken Hill","332 Boston Street, Moree","$145,000"," 1"," 3",747.5,1126.84
"652","Coonamble","253 Honour Avenue, Corowa","$139,000"," 1"," 3",371.333333333333,517.207
"653","Broken Hill","32 Parkes Street, Wellington","$129,500"," 1"," 2",747.5,1126.84
"654","Scone","46 Dalgetty Street, Narrandera","$179,000"," 1"," 3",191.116666666667,265.882
"655","Kooringal","20 Boundary Street, Moree","$169,000"," 1"," 2",275,455.478
"656","Broken Hill","33/40 Shoalhaven Heads Road, Shoalhaven Heads","$169,000"," 1"," 1",747.5,1126.84
"657","Port Macquarie","15 Grosvenor Street, Narrandera","Reduced $129,000"," 1"," 3",245.05,374.344
"658","South Grafton","12 Victor St, Trangie","$159,000"," 1"," 3",380.516666666667,597.104
"659","Winston Hills","B9 153 Mt Warning Road, Mount Warning","$89,000"," 1"," 1",11.8333333333333,8.122
"660","Broken Hill","31 Walter Street, Finley","REDUCED TO $82,500"," 1"," 3",747.5,1126.84
"661","Kelso","4 Sunshine Court, Tocumwal","$175,000"," 1"," 2",147.9,180.4
"662","Springfield","13 Warrina Crescent, Moree","$130,000"," 1"," 2",66.4333333333333,70.3
"663","Cumnock","38 OAK STREET, Moree","$120,000"," 1"," 3",234.65,297.163
"664","Oberon","60 Jellicoe Street, Temora","$185,000"," 1"," 3",152.283333333333,172.362
"665","Broken Hill","38 Oak Street, Moree","$120,000"," 1"," 3",747.5,1126.84
"666","Broken Hill","13 Albury Street, Inverell","$119,000"," 1"," 1",747.5,1126.84
"667","Broken Hill","2 Glasson, Glen Innes","$168,000"," 1"," 3",747.5,1126.84
"668","Aberdeen","115 Merinda Street, Hargraves","$153,000"," 1"," 2",178.466666666667,251.816
"669","Lockhart","6 Elliott Street, Narrabri","$175,000"," 1"," 3",319.516666666667,519.498
"670","Pooncarie","251 Brazil Street, Broken Hill","$110,000"," 1"," 2",703,1137.758
"671","Broken Hill","41 Cunningham Street, Tullamore","$110,000"," 2"," 3",747.5,1126.84
"672","Coonamble","19 Becker Street, Cobar","$150,000"," 1"," 3",371.333333333333,517.207
"673","Broken Hill","5 Alice Street, Barraba","$112,000"," 1"," 3",747.5,1126.84
"674","South Grafton","75 Wilson Street, Collarenebri","$100,000 - $110,000"," 1"," 4",380.516666666667,597.104
"675","Turramurra","12-14 Fisher Street, Ardlethan","$85,000"," 1"," 2",28.3,23.022
"676","Broken Hill","8 Finch Street, Bingara","$170,000"," 1"," 2",747.5,1126.84
"677","Coonamble","26 Bombelli Street, Bingara","$159,500"," 1"," 2",371.333333333333,517.207
"678","Broken Hill","10 Mahonga Street, Jerilderie","$135,000.00"," 1"," 2",747.5,1126.84
"679","Scone","32  Cunningham Street, Tullamore","$110,000"," 1"," 3",191.116666666667,265.882
"680","Kooringal","66/5189 Riverina Highway, Howlong","$99,000"," 1"," 2",275,455.478
"681","Broken Hill","10 Jerilderie Street, Jerilderie","$50,000.00"," 1"," 1",747.5,1126.84
"682","Port Macquarie","17 Link Street, Bingara","$150,000"," 1"," 3",245.05,374.344
"683","South Grafton","12 Stipa Street, Goolgowi","$145,000"," 2"," 3",380.516666666667,597.104
"684","Winston Hills","41 Aberford Street, Coonamble","$85,000"," 1"," 2",11.8333333333333,8.122
"685","Broken Hill","Site 40/586 River Street, Ballina","$95,000"," 1"," 1",747.5,1126.84
"686","Kelso","11 West Street, Trundle","$85,000"," 1"," 2",147.9,180.4
"687","Springfield","107 Church Street, Glen Innes","$175,000"," 1"," 2",66.4333333333333,70.3
"688","Cumnock","37 Main Street, Bellbrook","$165,000"," 1"," 3",234.65,297.163
"689","Oberon","14 Harris St, Bourke","Asking $150,000"," 1"," 3",152.283333333333,172.362
"690","Broken Hill","18/157 The Springs Road, Sussex Inlet","$149,000"," 1"," 1",747.5,1126.84
"691","Broken Hill","Address available on request, Salamander Bay","165,000.00"," 1"," 1",747.5,1126.84
"692","Broken Hill","30 Gordon Street, Young","$169,000"," 1"," 3",747.5,1126.84
"693","Aberdeen","27 Campbell Street, Aberdeen","$140,000 to $160,000"," 1"," 3",178.466666666667,251.816
"694","Lockhart","12 Canning Drive, Casino","$115,000"," 1"," 1",319.516666666667,519.498
"695","Pooncarie","111 DICK STREET, Deniliquin","$175,000"," 1"," 4",703,1137.758
"696","Broken Hill","120 Boori Street, Peak Hill","$170,000"," 1"," 3",747.5,1126.84
"697","Coonamble","11 James Street, Junee","$165,000"," 1"," 3",371.333333333333,517.207
"698","Broken Hill","29 Crane Street, Warialda","$159,000"," 1"," 3",747.5,1126.84
"699","South Grafton","42 Adams Street, Ashmont","$155,000"," 1"," 3",380.516666666667,597.104
"700","Turramurra","102 DICK STREET, Deniliquin","$139,000"," 1"," 3",28.3,23.022
"701","Broken Hill","32 Severn Street, Deepwater","$135,000"," 1"," 2",747.5,1126.84
"702","Coonamble","300 Sulphide Street, Broken Hill","$90,000"," 1"," 3",371.333333333333,517.207
"703","Broken Hill","60 Short St, Bourke","Reduced to $90,000"," 1"," 2",747.5,1126.84
"704","Scone","13 Yass Street, Young","$185,000"," 1"," 3",191.116666666667,265.882
"705","Kooringal","21 Flynn St, Berrigan","VALUE AT $150,000"," 1"," 3",275,455.478
"706","Broken Hill","9 Pierce Street, Wellington","$134,750"," 1"," 4",747.5,1126.84
"707","Port Macquarie","9 Turora Street, Moulamein","$138,000 WIWO"," 2"," 4",245.05,374.344
"708","South Grafton","76 586 River Street, West Ballina","$89,000"," 1"," 1",380.516666666667,597.104
"709","Winston Hills","233 Chapel Street, Armidale","Price Guide - $160,000"," 1"," 3",11.8333333333333,8.122
"710","Broken Hill","17 Ferrier Street, Lockhart","$139,000"," 1"," 3",747.5,1126.84
"711","Kelso","9 Lunar Avenue, Dubbo","$155,000"," 1"," 3",147.9,180.4
"712","Springfield","16 Anna Street, Urana","$149,000"," 1"," 2",66.4333333333333,70.3
"713","Cumnock","34 Nancarrow Lane, Wellington","$137,500"," 1"," 2",234.65,297.163
"714","Oberon","3 Wilga St, Gulargambone","$88,000"," 1"," 3",152.283333333333,172.362
"715","Broken Hill","17A Andrew Street, Inverell","$169,000"," 1"," 3",747.5,1126.84
"716","Broken Hill","12 Coolamon Street, Leeton","$158,000"," 1"," 3",747.5,1126.84
"717","Broken Hill","10A Main Avenue, Yanco, Leeton","$109,000"," 1"," 4",747.5,1126.84
"718","Aberdeen","18 Riddell Street, Bingara","$165,000"," 1"," 2",178.466666666667,251.816
"719","Lockhart","43 Fourth Ave, Campsie","990,000-1,020,000"," 1"," 3",319.516666666667,519.498
"720","Pooncarie","98 Dandaloo St, Trangie","$100,000"," 1"," 3",703,1137.758
"721","Broken Hill","30 Henry Street, Werris Creek","$130,000"," 1"," 3",747.5,1126.84
