"Suburb","Address","Price","Baths","Beds","DistanceTime.min.","Distance.km.","Status"
"Broken Hill","624 Williams Street, Broken Hill","$149,000"," 1"," 3",747.5,1126.84,"ForSale"
"Broken Hill","595 Fisher St, Broken Hill","$135,000"," 1"," 3",747.5,1126.84,"ForSale"
"Tumbarumba","33 Mate Street, Tumbarumba","$140,000"," 1"," 2",293.666666666667,468.944,"ForSale"
"Broken Hill","71 Wilson Street, Broken Hill","$70,000"," 1"," 3",747.5,1126.84,"ForSale"
"Muswellbrook","71 William Street, Muswellbrook","$145,000"," 1"," 3",164.583333333333,237.029,"ForSale"
"Pleasant Hills","24 Manson Street, Pleasant Hills","$170,000"," 1"," 3",331.9,548.796,"ForSale"
"Cowra","33A Newcombe Street, Cowra","$155,000"," 1"," 2",231.566666666667,291.247,"ForSale"
"Cameron Park","9 Perly Grove, Cameron Park","Guide: $790,000 - $870,000"," 3"," 6",99.9333333333333,135.403,"ForSale"
"Broken Hill","95 Eyre Street, Broken Hill","$140,000"," 1"," 3",747.5,1126.84,"ForSale"
"Berrigan","22 Jerilderie St, Berrigan","VALUE AT $128,000"," 1"," 3",393.616666666667,635.493,"ForSale"
"Cowra","8 Watt Street, Cowra","$89,000"," 1"," 2",231.566666666667,291.247,"ForSale"
"Broken Hill","145B Gypsum Street, Broken Hill","$165,000"," 1"," 3",747.5,1126.84,"ForSale"
"Broken Hill","276 Patton Street, Broken Hill","$140,000"," 1"," 3",747.5,1126.84,"ForSale"
"Broken Hill","6  Beryl Lane, Broken Hill","$129,000"," 1"," 2",747.5,1126.84,"ForSale"
"Broken Hill","95 Duff Street, Broken Hill","$75,000"," 1"," 2",747.5,1126.84,"ForSale"
"Muswellbrook","34 Forbes Street, Muswellbrook","$140,000"," 1"," 2",164.583333333333,237.029,"ForSale"
"Cowra","12 Lee Street, Cowra","$175,000"," 1"," 4",231.566666666667,291.247,"ForSale"
"Coreen","Lot/174 Coreen School Road, Coreen","$125,000"," 1"," 2",365.583333333333,604.175,"ForSale"
"Barraba","3 Henry Street, Barraba","Reduced to $129,500"," 1"," 3",345.666666666667,486.82,"ForSale"
"Narromine","10 Fifth Avenue, Narromine","$169,000"," 1"," 2",306.483333333333,413.407,"ForSale"
"Deniliquin","469 Maher St, Deniliquin","For Sale $155,000"," 1"," 3",441.233333333333,708.832,"ForSale"
"Quirindi","10 Centre Street, Quirindi","$165,000"," 1"," 2",242.033333333333,339.247,"ForSale"
"Broken Hill","275  Oxide Street, Broken Hill","$55,000"," 1"," 2",747.5,1126.84,"ForSale"
"Parkes","30 Gap Street, Parkes","$180,000"," 1"," 2",262.666666666667,340.97,"ForSale"
"Kandos","12 Station Street Charbon, Kandos","$140,000"," 1"," 3",173.6,214.224,"ForSale"
"Warialda","88 Long Street, Warialda","$139,000"," 1"," 1",417.15,591.159,"ForSale"
"Wellington","162 Pierce Street, Wellington","$74,500"," 1"," 3",258.633333333333,332.55,"ForSale"
"Ardglen","7 High Street, Ardglen","$95,000"," 1"," 3",231.283333333333,316.241,"ForSale"
"Quirindi","9 Pollock Street, Quirindi","$120,000"," 1"," 2",242.033333333333,339.247,"ForSale"
"Broken Hill","115 Iodide St, Broken Hill","$75,000"," 1"," 3",747.5,1126.84,"ForSale"
"Broken Hill","23 Nicholls Street, Broken Hill","$74,999"," 1"," 3",747.5,1126.84,"ForSale"
"Broken Hill","12 Bonanza Street, Broken Hill","$120,000"," 1"," 3",747.5,1126.84,"ForSale"
"Henty","8 Sweetwater Drive, Henty","$185,000"," 1"," 2",311.45,523.978,"ForSale"
"Culcairn","8 Wattle Street, Culcairn","$175,000"," 1"," 3",309.683333333333,516.479,"ForSale"
"Pooncarie","29-31 Tarcoola Street, Pooncarie","$80,000 - $85,000"," 1"," 3",703,1137.758,"ForSale"
"Broken Hill","187 Brazil St, Broken Hill","$130,000"," 1"," 3",747.5,1126.84,"ForSale"
"Picton","34 The Grange, Picton","$1,075,000 - $1,180,000"," 3"," 4",66.2166666666667,89.985,"ForSale"
"Henty","45 Ivor St, Henty","$70,000"," 1"," 2",311.45,523.978,"ForSale"
"Gunnedah","52 Wandobah Road, Gunnedah","For Sale $160,000-$176,000"," 1"," 3",295.566666666667,421.48,"ForSale"
"Broken Hill","67 Williams St, Broken Hill","$160,000 - $170,000"," 1"," 3",747.5,1126.84,"ForSale"
"Broken Hill","27 Boughtman St, Broken Hill","$89,900"," 1"," 3",747.5,1126.84,"ForSale"
"Broken Hill","285 Piper Street, Broken Hill","$85,000"," 1"," 2",747.5,1126.84,"ForSale"
"Baradine","1-3 Bligh St, Baradine","$55,000"," 1"," 3",354.35,483.877,"ForSale"
"Broken Hill","340 Morish St, Broken Hill","$90,000"," 1"," 2",747.5,1126.84,"ForSale"
"Broken Hill","339 Duff St, Broken Hill","$124,900"," 1"," 3",747.5,1126.84,"ForSale"
"Broken Hill","628 Argent Street, Broken Hill","119000"," 1"," 3",747.5,1126.84,"ForSale"
"Barmedman","28 Queen Street, Barmedman","$90,000"," 1"," 4",285.633333333333,456.329,"ForSale"
"Glen Innes","171 Grey Street, Glen Innes","$20,000 PLUS STOCK"," 1"," 1",401.983333333333,559.494,"ForSale"
"Broken Hill","335 Morish St, Broken Hill","92500"," 1"," 2",747.5,1126.84,"ForSale"
"Wellington","37 Arthur Street, Wellington","$169,500"," 1"," 3",258.633333333333,332.55,"ForSale"
"Caroona","10 Johnson Street, Caroona","$150,000"," 1"," 3",258.75,366.779,"ForSale"
"Broken Hill","157 Knox St, Broken Hill","$90,000"," 1"," 3",747.5,1126.84,"ForSale"
"Wentworth","99 Wilkes Street, Wentworth","$110,000"," 2"," 3",637.466666666667,1035.275,"ForSale"
"Mathoura","50 Livingstone Street, Mathoura","$115,000"," 1"," 4",465.966666666667,743.786,"ForSale"
"Broken Hill","53 Harris St, Broken Hill","$100,000"," 1"," 3",747.5,1126.84,"ForSale"
"Tumut","5 Fairway Drive, Tumut","$150,000"," 1"," 2",253.45,409.311,"ForSale"
"Quirindi","26 Cromarty Street, Quirindi","$160,000"," 1"," 3",242.033333333333,339.247,"ForSale"
"Broken Hill","411 Iodide St, Broken Hill","$175,000"," 2"," 4",747.5,1126.84,"ForSale"
"Broken Hill","1A Bonanza St, Broken Hill","$89,000"," 1"," 2",747.5,1126.84,"ForSale"
"Broken Hill","110 Oxide St, Broken Hill","$98,000"," 1"," 2",747.5,1126.84,"ForSale"
"Broken Hill","80 Gaffney Lane, Broken Hill","$85,000"," 1"," 2",747.5,1126.84,"ForSale"
"Lockhart","50 Ferrier Street, Lockhart","$80,000"," 1"," 2",319.516666666667,519.498,"ForSale"
"Broken Hill","173 - 175 Cummins Lane, Broken Hill","$100,000"," 1"," 3",747.5,1126.84,"ForSale"
"Broken Hill","676 McGowen Street, Broken Hill","$95,000"," 1"," 3",747.5,1126.84,"ForSale"
"Broken Hill","284 Patton St, Broken Hill","$69,000"," 1"," 2",747.5,1126.84,"ForSale"
"Mathoura","3a Livingstone Street, Mathoura","$149,000"," 1"," 2",465.966666666667,743.786,"ForSale"
"Broken Hill","401 Cummins Street, Broken Hill","$99,000"," 1"," 2",747.5,1126.84,"ForSale"
"Broken Hill","6 Casuarina Avenue, Broken Hill","$165,000"," 1"," 3",747.5,1126.84,"ForSale"
"Broken Hill","90 Cornish St, Broken Hill","$75,000"," 1"," 3",747.5,1126.84,"ForSale"
"Oaklands","44-46 Coreen Street, Oaklands","$90,000"," 1"," 2",372.7,597.71,"ForSale"
"Forbes","191 Farnell Street, Forbes","$160,000"," 1"," 3",275.683333333333,357.998,"ForSale"
"Kandos","36 Stewart Street, Kandos","$140,000"," 1"," 1",173.6,214.224,"ForSale"
"Orange","6 BUNA STREET, Orange","$168,000"," 1"," 3",193.966666666667,237.883,"ForSale"
"Tamworth","Windmill Hill E - Stage 9 & 10, Tamworth","From $140,000"," 2"," 4",279.066666666667,395.245,"ForSale"
"Tamworth","Stage 6 Redbank Estate - Calala, Tamworth","From $139,000"," 2"," 4",279.066666666667,395.245,"ForSale"
"Broken Hill","464 Wyman Lane, Broken Hill","$110,000"," 1"," 3",747.5,1126.84,"ForSale"
"Finley","7 Hampden Street, Finley","$99,000"," 2"," 3",408.616666666667,657.711,"ForSale"
"St Andrews","3 Muir Place, St Andrews","$630,000 - $670,000"," 1"," 4",39.5833333333333,51.335,"ForSale"
"Wentworth","37 Gunn Street, Wentworth","$96,000 to $105,000"," 1"," 3",637.466666666667,1035.275,"ForSale"
"Moree","328 Edward Street, Moree","$80,000"," 1"," 2",421.2,616.255,"ForSale"
"Culcairn","2 South Street, Culcairn","$159,000"," 1"," 2",309.683333333333,516.479,"ForSale"
"Wentworth","62 Murray Street, Wentworth","$165,000 - $172,000"," 1"," 3",637.466666666667,1035.275,"ForSale"
"Tamworth","Stage 9 & 10 Windmill Hill Estate, Tamworth","From $140,000"," 2"," 4",279.066666666667,395.245,"ForSale"
"Orange","17  Kokoda Street, Orange","$160,000"," 1"," 2",193.966666666667,237.883,"ForSale"
"Glen Innes","18 Young Street, Deepwater, Glen Innes","$105,000"," 1"," 1",401.983333333333,559.494,"ForSale"
"Figtree","115C Woodrow Place, Figtree","$150,000"," 1"," 2",86.3666666666667,113.688,"ForSale"
"Dungog","Cabin 18,2940 Salisbury Road(Barrington Cottages),Salisbury Via, Dungog","$110,000"," 1"," 2",149.95,204.155,"ForSale"
"Buronga","11 Friel Street, Buronga","$155,000 - $170,000"," 1"," 2",616.85,1006.496,"ForSale"
"Quandialla","23 Glasson Street, Quandialla","REDUCED to $157,500"," 1"," 4",278.366666666667,441.633,"ForSale"
"Woodenbong","29 Lindsay Street, Woodenbong","$90,000"," 1"," 1",521.216666666667,790.838,"ForSale"
"Bonalbo","23-25 Gill Street, Bonalbo","$49,000"," 1"," 2",503.5,767.12,"ForSale"
"Gilgandra","25 Iris Street, Gilgandra","$65,000"," 1"," 1",311.166666666667,422.231,"ForSale"
"Wellington","9 William Street, Wellington","$79,500"," 1"," 3",258.633333333333,332.55,"ForSale"
"Glen Innes","10 Cross Street, Glen Innes","$120,000"," 1"," 2",401.983333333333,559.494,"ForSale"
"Broken Hill","163 Williams Street, Broken Hill","$105,000"," 1"," 3",747.5,1126.84,"ForSale"
"Dubbo","15 Collins Avenue, Dubbo","$148,000"," 1"," 3",278.883333333333,371.378,"ForSale"
"Norfolk Island","100 Taylors Rd, Norfolk Island","Unique Real Estate Opportunity $70,000"," 2"," 1",NA,NA,"ForSale"
"Muswellbrook","68 Wollombi Road, Muswellbrook","$160,000"," 1"," 3",164.583333333333,237.029,"ForSale"
"Temora","72 Jellicoe Street, Temora","$165,000"," 1"," 2",261.466666666667,420.465,"ForSale"
"Condobolin","22 Goodwill, Condobolin","$175,000"," 1"," 3",328.45,442.722,"ForSale"
"Tamworth","23 Elm Street, Tamworth","$159,000"," 1"," 3",279.066666666667,395.245,"ForSale"
"Armidale","3 Myrtle Drive, Armidale","$150,000"," 1"," 1",341.633333333333,465.783,"ForSale"
"Garah","93 Talmoi Road, Garah","$150,000"," 1"," 3",457.9,668.29,"ForSale"
"Cootamundra","27 Williams Avenue, Cootamundra","$139,000"," 1"," 2",231.2,377.99,"ForSale"
"Euabalong","17 Farnell, Euabalong","$45,000"," 1"," 3",379.333333333333,515.546,"ForSale"
"Narrandera","57 Dalgetty Street, Narrandera","$149,000"," 1"," 3",334.233333333333,527.307,"ForSale"
"Gunnedah","27 Conadilly Street, Gunnedah","$209,500"," 1"," 3",295.566666666667,421.48,"ForSale"
"Bundarra","39 Bendemeer Street, Bundarra","$129,000"," 1"," 3",396.783333333333,543.02,"ForSale"
"Wellington","6 Kennard Street, Wellington","$165,000"," 1"," 3",258.633333333333,332.55,"ForSale"
"Pallamallawa","28 BLAKE STREET, Pallamallawa","$90,000"," 1"," 2",434.633333333333,620.247,"ForSale"
"Parkes","70 Orange Street, Parkes","$150,000"," 1"," 3",262.666666666667,340.97,"ForSale"
"Warialda","74 Market Street, Warialda","$145,000"," 1"," 2",417.15,591.159,"ForSale"
"Cobar","15 Bourke Street, Cobar","$115,000"," 1"," 2",461.4,669.21,"ForSale"
"Deniliquin","291 HARFLEUR STREET, Deniliquin","$149,000"," 1"," 3",441.233333333333,708.832,"ForSale"
"Tamworth","10 Green Street, Tamworth","$175,000"," 1"," 3",279.066666666667,395.245,"ForSale"
"Arrawarra","22 Kingfisher Crescent, Arrawarra","$99,000"," 1"," 2",352.283333333333,548.953,"ForSale"
"Tamworth","47 Cossa Street, Tamworth","$145,000"," 1"," 3",279.066666666667,395.245,"ForSale"
"Barmedman","14 Queen Street, Barmedman","$65,000"," 1"," 3",285.633333333333,456.329,"ForSale"
"Inverell","67 Warialda Road, Inverell","$169,000"," 1"," 2",403.416666666667,561.941,"ForSale"
"Tomakin","Address available on request, Tomakin","$145,000"," 1"," 2",244.116666666667,324.172,"ForSale"
"Bonalbo","5A Gill Street, Bonalbo","$160,000"," 1"," 2",503.5,767.12,"ForSale"
"Glen Innes","10 Cross, Glen Innes","$120,000"," 1"," 2",401.983333333333,559.494,"ForSale"
"Glen Innes","114 Healeys Lane, Glen Innes","$175,000"," 1"," 1",401.983333333333,559.494,"ForSale"
"Hay","214 William Street, Hay","$125,000"," 1"," 2",442.85,722.973,"ForSale"
"Glencoe","4 Donald Lane, Glencoe","$100,000"," 1"," 1",389.083333333333,540.562,"ForSale"
"Ardlethan","14 Park Street, Ardlethan","$89,000"," 1"," 2",305.05,487.717,"ForSale"
"Boggabilla","114 BROWN STREET, Boggabilla","$28,000"," 1"," 4",490.05,729.864,"ForSale"
"Condobolin","9 Alldis Street, Condobolin","$130,000"," 1"," 2",328.45,442.722,"ForSale"
"Finley","78 Coree Street, Finley","$125,000"," 1"," 3",408.616666666667,657.711,"ForSale"
"Bourke","75 Mitchell Street, Bourke","This home is priced to sell at $99,000"," 1"," 4",503.383333333333,741.707,"ForSale"
"Oaklands","61 Young Street, Oaklands","$60,000"," 1"," 2",372.7,597.71,"ForSale"
"Narrandera","49 Ferrier Street, Narrandera","$140,000"," 1"," 3",334.233333333333,527.307,"ForSale"
"Deepwater","18 Young Street, Deepwater","$105,000"," 1"," 1",430.316666666667,601.336,"ForSale"
"West Tamworth","13 Sussex Street, West Tamworth","$49,000 negotiable"," 1"," 3",278.066666666667,394.137,"ForSale"
"Moree","334 AUBURN STREET, Moree","$169,000"," 2"," 4",421.2,616.255,"ForSale"
"Gunnedah","26 George Street, Gunnedah","For Sale $170,000-$185,000"," 1"," 3",295.566666666667,421.48,"ForSale"
"North Albury","218 Lowry Street, North Albury","$175,000"," 1"," 3",325.583333333333,548.233,"ForSale"
"South Kempsey","12 Vernon Street, South Kempsey","$150,000"," 1"," 3",268.5,412.483,"ForSale"
"Harrington","21 Currawong Avenue, Harrington","$69,000"," 1"," 1",213.766666666667,322.371,"ForSale"
"Glen Innes","2647 GLEN INNES, Glen Innes","$50,000"," 1"," 1",401.983333333333,559.494,"ForSale"
"Trangie","21 Weemabah St, Trangie","$40,000"," 1"," 3",328.6,446.555,"ForSale"
"Curlewis","78 Goran Street, Curlewis","$179,000"," 1"," 3",280.316666666667,402.335,"ForSale"
"Leeton","4 Banksia Avenue, Leeton","$160,000"," 1"," 3",355.416666666667,556.851,"ForSale"
"Kandos","28 Rodgers St, Kandos","$140,000"," 1"," 3",173.6,214.224,"ForSale"
"Khancoban","2 Mitchell Avenue, Khancoban","$130,000"," 1"," 3",349.75,544.906,"ForSale"
"Moree","73 Anne Street, Moree","$69,000"," 1"," 3",421.2,616.255,"ForSale"
"Torrington","2816 Bates Road, Torrington","$175,000"," 1"," 2",460.416666666667,632.19,"ForSale"
"Boggabri","12 Grantham Street, Boggabri","$160,000"," 1"," 3",321.15,459.858,"ForSale"
"Corowa","48 Edward Street, Corowa","$137,000"," 1"," 2",359.533333333333,606.542,"ForSale"
"Broken Hill","243 Iodide Street, Broken Hill","$165,000"," 1"," 2",747.5,1126.84,"ForSale"
"Moree","381 BOSTON STREET, Moree","$149,000"," 1"," 3",421.2,616.255,"ForSale"
"Cobar","72 Bathurst Street, Cobar","$155,000"," 1"," 3",461.4,669.21,"ForSale"
"Spring Ridge","90 Darby Road, Spring Ridge","$165,000"," 2"," 3",272.166666666667,385.304,"ForSale"
"Warialda","10 Long Street, Warialda","$130,000"," 1"," 3",417.15,591.159,"ForSale"
"Warialda","10 Long Street, Warialda","$130,000"," 1"," 3",417.15,591.159,"ForSale"
"Campbelltown","20 Parc Guell Ave, Campbelltown","$749,950"," 2"," 4",45.55,55.93,"ForSale"
"Coonamble","15 Eurimie Street, Coonamble","$65,000 ONO"," 1"," 3",371.333333333333,517.207,"ForSale"
"Parkes","106 Clarinda street, Parkes","$175,000"," 1"," 3",262.666666666667,340.97,"ForSale"
"Inverell","137 Brae Street, Inverell","$169,000"," 1"," 6",403.416666666667,561.941,"ForSale"
"Cassilis","17 Scott Street, Cassilis","$167,500"," 1"," 2",233.116666666667,339.77,"ForSale"
"Batlow","12 Reedy Street, Batlow","$150,000"," 1"," 3",269.433333333333,436.264,"ForSale"
"Ungarie","26 Muriel Street, Ungarie","$120,000"," 1"," 2",338.333333333333,531.138,"ForSale"
"Wee Waa","120 Rose Street, Wee Waa","$79,000"," 1"," 2",386.916666666667,555.855,"ForSale"
"Leeton","Address available on request, Leeton","$55,500"," 1"," 1",355.416666666667,556.851,"ForSale"
"Cowra","47 Mulyan Street, Cowra","$175,000"," 1"," 3",231.566666666667,291.247,"ForSale"
"Woodstock","45 Noyeau Street, Woodstock","$189,000"," 1"," 2",224.316666666667,273.085,"ForSale"
"Binnaway","8 Myall St, Binnaway","$145,000"," 1"," 3",300.533333333333,409.048,"ForSale"
"Wellington","106 Simpson, Wellington","$119,000"," 1"," 3",258.633333333333,332.55,"ForSale"
"Deepwater","18 Young St, Deepwater","$105,000"," 1"," 1",430.316666666667,601.336,"ForSale"
"Finley","69 Tocumwal Street, Finley","$98,000"," 1"," 3",408.616666666667,657.711,"ForSale"
"Broken Hill","39 Morish Street, Broken Hill","$90,000"," 1"," 2",747.5,1126.84,"ForSale"
"Coonamble","33 Namoi Street, Coonamble","$160,000"," 1"," 3",371.333333333333,517.207,"ForSale"
"Deniliquin","436 HAY ROAD, Deniliquin","$160,000"," 1"," 3",441.233333333333,708.832,"ForSale"
"Wellington","49 Pierce Street, Wellington","$140,000"," 1"," 3",258.633333333333,332.55,"ForSale"
"Bundarra","7 Clerk Street, Bundarra","$125,000"," 1"," 1",396.783333333333,543.02,"ForSale"
"Muswellbrook","14 Sowerby Avenue, Muswellbrook","$110,000"," 1"," 3",164.583333333333,237.029,"ForSale"
"Jordan Springs","20 Carramar Avenue, Jordan Springs","Brand New Luxury | Price Guide $850,000 - $899,000"," 2"," 4",40.6,40.216,"ForSale"
"Leeton","22 Banksia Avenue, Leeton","$160,000"," 1"," 2",355.416666666667,556.851,"ForSale"
"Bourke","73 Tudor Street, Bourke","$155,000"," 1"," 3",503.383333333333,741.707,"ForSale"
"Armidale","Address available on request, Armidale","Auction Guide $149,000"," 1"," 3",341.633333333333,465.783,"ForSale"
"Ganmain","63 Langham Street, Ganmain","$125,000"," 1"," 4",304.733333333333,482.076,"ForSale"
"Ballina","53 491 River Street, Ballina","$49,000"," 1"," 1",486.133333333333,727.768,"ForSale"
"Glen Innes","96 Taylor St, Glen Innes","$170,000"," 1"," 3",401.983333333333,559.494,"ForSale"
"Finley","77 Tocumwal Street, Finley","$169,000"," 1"," 3",408.616666666667,657.711,"ForSale"
"Berrigan","30 Davis St, Berrigan","ASKING $159,000 ono"," 1"," 3",393.616666666667,635.493,"ForSale"
"Berrigan","35 Budd St, Berrigan","CLASSIC $145,000"," 1"," 3",393.616666666667,635.493,"ForSale"
"Delegate","30 William Street, Delegate","$149,000"," 1"," 3",328.016666666667,518.137,"ForSale"
"Kelso","28 Simmons Place, Kelso","$139,000"," 1"," 3",147.9,180.4,"ForSale"
"Narrandera","7 Rupert Street, Narrandera","$125,000"," 1"," 3",334.233333333333,527.307,"ForSale"
"Ashford","35 Albury Street, Ashford","$169,000"," 2"," 3",441.95,617.125,"ForSale"
"Glen Innes","36 Park Street EMMAVILLE, Glen Innes","$149,500"," 1"," 2",401.983333333333,559.494,"ForSale"
"Urbenville","Address available on request, Urbenville","$90,000"," 2"," 3",536.15,806.813,"ForSale"
"Gunnedah","11 JAEGER Avenue, Gunnedah","$179,000"," 1"," 3",295.566666666667,421.48,"ForSale"
"Muswellbrook","7 Tarakan Avenue, Muswellbrook","FIRST NATIONAL $150,000"," 1"," 3",164.583333333333,237.029,"ForSale"
"Inverell","17 Baker Street, Inverell","$159,000"," 1"," 5",403.416666666667,561.941,"ForSale"
"Brewarrina","33 Wilson St, Brewarrina","Asking price $100,000"," 1"," 3",524.466666666667,764.395,"ForSale"
"Gooloogong","10 Forbes Street, Gooloogong","Reduced to $150,000"," 1"," 3",251.583333333333,319.535,"ForSale"
"Broken Hill","540 Bathurst Street, Broken Hill","$159,000"," 2"," 3",747.5,1126.84,"ForSale"
"West Kempsey","69 North Street, West Kempsey","$145,000"," 1"," 4",271.116666666667,413.87,"ForSale"
"Broken Hill","39 Wolfram Street, Broken Hill","$140,000"," 1"," 2",747.5,1126.84,"ForSale"
"Broken Hill","8 Bonanza Street, Broken Hill","$130,000"," 1"," 3",747.5,1126.84,"ForSale"
"West Ballina","1 Emigrant Creek Broadwater Place, West Ballina","$120,000 Negotiable"," 1"," 3",476.45,721.533,"ForSale"
"Broken Hill","106 Patton Street, Broken Hill","$102,000"," 1"," 2",747.5,1126.84,"ForSale"
"Wellington","3 Charles Street, Wellington","$179,800"," 2"," 4",258.633333333333,332.55,"ForSale"
"Deepwater","8 Alice Street, Deepwater","$165,000"," 1"," 3",430.316666666667,601.336,"ForSale"
"Carroll","62 Phillip Street, Carroll","$75,000"," 1"," 2",291.783333333333,411.368,"ForSale"
"Deniliquin","106 HUNTER STREET, Deniliquin","$159,000"," 1"," 3",441.233333333333,708.832,"ForSale"
"Deniliquin","322 JONES AVENUE, Deniliquin","$158,000"," 1"," 2",441.233333333333,708.832,"ForSale"
"Boggabri","80 Lynn Street, Boggabri","$130,000"," 1"," 2",321.15,459.858,"ForSale"
"Berrigan","18 Momalong St, Berrigan","$129,000"," 1"," 3",393.616666666667,635.493,"ForSale"
"Wellington","8 Railway Avenue, Wellington","$159,500"," 1"," 3",258.633333333333,332.55,"ForSale"
"Leeton","18 Hickory Street, Leeton","$125,000"," 1"," 3",355.416666666667,556.851,"ForSale"
"Brooms Head","Site 82 Brooms Head Caravan Park, Brooms Head","$49,000"," 1"," 1",444.616666666667,665.172,"ForSale"
"Wyong","1A/29 Cutler Drive, Wyong","$90,000"," 1"," 1",70.05,84.399,"ForSale"
"Cobar","78 Monaghan Street, Cobar","$170,000"," 1"," 3",461.4,669.21,"ForSale"
"Pooncarie","17-19 West Street, Pooncarie","$85,000"," 2"," 3",703,1137.758,"ForSale"
"Glen Innes","Address available on request, Glen Innes","$165,000"," 1"," 3",401.983333333333,559.494,"ForSale"
"Wellington","34 Swift Street, Wellington","$160,000"," 1"," 3",258.633333333333,332.55,"ForSale"
"Bourke","73 Tudor St, Bourke","Asking $155,000"," 1"," 3",503.383333333333,741.707,"ForSale"
"Forbes","12 Bogan Street, Forbes","$130,000"," 1"," 1",275.683333333333,357.998,"ForSale"
"Gulargambone","32 Coonamble Street, Gulargambone","$94,000"," 1"," 3",341.233333333333,470.497,"ForSale"
"Laurieton","Address available on request, Laurieton","$55,000"," 1"," 1",232.216666666667,350.752,"ForSale"
"Wellington","38 Simpson Street, Wellington","$175,000"," 1"," 4",258.633333333333,332.55,"ForSale"
"Wellington","129 Warne Street, Wellington","$150,000"," 1"," 3",258.633333333333,332.55,"ForSale"
"Narromine","145 MERILBA STREET, Narromine","$139,000"," 1"," 2",306.483333333333,413.407,"ForSale"
"Brewarrina","4 Dooral St, Brewarrina","Asking price $125,000"," 1"," 4",524.466666666667,764.395,"ForSale"
"Quirindi","71 Church Avenue, Quirindi","$120,000"," 1"," 4",242.033333333333,339.247,"ForSale"
"Glen Innes","4 Donald Lane, GLENCOE, Glen Innes","$100,000"," 1"," 1",401.983333333333,559.494,"ForSale"
"Moree","16 Tycannah Street, Moree","$99,000"," 1"," 3",421.2,616.255,"ForSale"
"Coolah","76 Railway Ave, Coolah","$170,000"," 2"," 5",268.316666666667,355.334,"ForSale"
"Wee Waa","130 Alma Street, Wee Waa","$148,000"," 1"," 3",386.916666666667,555.855,"ForSale"
"Broken Hill","88 Ryan Street, Broken Hill","$97,500"," 1"," 3",747.5,1126.84,"ForSale"
"West Tamworth","23 Quinn Street, West Tamworth","Offers over $164,800"," 1"," 3",278.066666666667,394.137,"ForSale"
"Ebor","31 Ebor Street, Ebor","$165,000"," 1"," 2",384.1,580.215,"ForSale"
"Narrandera","10 Carolan Place, Narrandera","$110,000"," 1"," 2",334.233333333333,527.307,"ForSale"
"Barmedman","28 DE BOOS STREET, Barmedman","$110,000"," 1"," 2",285.633333333333,456.329,"ForSale"
"Glen Innes","144 Ferguson Street, Glen Innes","$170,000"," 1"," 3",401.983333333333,559.494,"ForSale"
"Khancoban","20 Sheather, Khancoban","$159,000"," 1"," 2",349.75,544.906,"ForSale"
"Canowindra","19 East Street, Canowindra","$149,000"," 1"," 2",226.333333333333,287.314,"ForSale"
"Quirindi","160 Hawker Street, Quirindi","$100,000"," 1"," 2",242.033333333333,339.247,"ForSale"
