"X","Suburb","Address","Price","Baths","Beds","DistanceTime.min.","Distance.km.","Status","Date"
802,"Coonamble","13 Plunkett Street, Warialda","$145,000",1,4,371.333333333333,517.207,"ForSale",NA
803,"Broken Hill","97-99 Binnia Street, Coolah","Priced Reduced $149,000",1,3,747.5,1126.84,"ForSale",NA
804,"Scone","17/419 Tarean Road, Karuah","$169,000",1,2,191.116666666667,265.882,"ForSale",NA
805,"Kooringal","92 Swift Street, Wellington","$150,000",1,3,275,455.478,"ForSale",NA
806,"Broken Hill","300 Auburn Street, Moree","$130,000",1,3,747.5,1126.84,"ForSale",NA
807,"Port Macquarie","3/88 Curry Street, Merewether","$1,100,000",2,3,245.05,374.344,"ForSale",NA
808,"South Grafton","6 Hospital  Street, Coolah","$163,000",1,2,380.516666666667,597.104,"ForSale",NA
809,"Winston Hills","51 Railway St, Binnaway","$150,000",1,1,11.8333333333333,8.122,"ForSale",NA
810,"Broken Hill","46 Rose Street, Wee Waa","$149,000",1,3,747.5,1126.84,"ForSale",NA
811,"Kelso","36 Pinnuck Street, Finley","$139,000",1,4,147.9,180.4,"ForSale",NA
812,"Springfield","50 Coreen Street, Jerilderie","$120,000.00",1,3,66.4333333333333,70.3,"ForSale",NA
813,"Cumnock","9 Stirbeck Street, Holbrook","$163,000",1,3,234.65,297.163,"ForSale",NA
814,"Oberon","13 Simpson Lane, Wellington","$175,000",1,2,152.283333333333,172.362,"ForSale",NA
815,"Broken Hill","18 Riddell Street, Bingara","$165,000",1,3,747.5,1126.84,"ForSale",NA
816,"Broken Hill","4 Waratah Avenue, Inverell","$144,000",1,3,747.5,1126.84,"ForSale",NA
817,"Broken Hill","307 Edward Street, Moree","$130,000 - 10.4% ROI - Recently Reduced",1,3,747.5,1126.84,"ForSale",NA
818,"Aberdeen","375 Hay Road, Deniliquin","For Sale $179,000",2,3,178.466666666667,251.816,"ForSale",NA
819,"Lockhart","14 Yarran Street, Coonamble","$160,000",1,3,319.516666666667,519.498,"ForSale",NA
820,"Pooncarie","1 WARRINA CRESCENT, Moree","$150,000",1,3,703,1137.758,"ForSale",NA
821,"Broken Hill","61 ANNE STREET, Moree","$150,000",1,3,747.5,1126.84,"ForSale",NA
822,"Coonamble","48 Kindra St, Rand","$139,000",1,3,371.333333333333,517.207,"ForSale",NA
823,"Broken Hill","54 Whitley Street, Wellington","$120,000",1,3,747.5,1126.84,"ForSale",NA
824,"South Grafton","1 Corbett Street, Darlington Point","$182,000",1,3,380.516666666667,597.104,"ForSale",NA
825,"Turramurra","93 Dewhurst Street, Werris Creek","$169,000",1,2,28.3,23.022,"ForSale",NA
826,"Broken Hill","1 Main Street, Bonalbo","$159,000 - Under Offer",1,2,747.5,1126.84,"ForSale",NA
827,"Coonamble","38 New England Highway, Willow Tree","$125,000",1,3,371.333333333333,517.207,"ForSale",NA
828,"Broken Hill","97-99 Murray Street, Finley","$90,000",1,1,747.5,1126.84,"ForSale",NA
829,"Scone","27 Coreen Street, Jerilderie","$89,999",1,4,191.116666666667,265.882,"ForSale",NA
830,"Kooringal","98/429 Pacific Highway, Coffs Harbour","$150,000",1,3,275,455.478,"ForSale",NA
831,"Broken Hill","197-203 Culcairn Holbrook Road, Holbrook","$175,000",1,3,747.5,1126.84,"ForSale",NA
832,"Port Macquarie","287 Duncan Street, Deniliquin","$125,000",1,2,245.05,374.344,"ForSale",NA
833,"South Grafton","8 Osborne Street, Finley","$125,000",1,3,380.516666666667,597.104,"ForSale",NA
834,"Winston Hills","23 Morago Street, Moulamein","$90,000 plus GST",1,1,11.8333333333333,8.122,"ForSale",NA
835,"Broken Hill","93 Wee Waa St, Boggabri","$125,000 - Price Reduced!",2,3,747.5,1126.84,"ForSale",NA
836,"Kelso","Address available on request, Tullibigeal","$149,000",1,4,147.9,180.4,"ForSale",NA
837,"Springfield","68 Wynne Street, Inverell","$149,000 REDUCED",1,3,66.4333333333333,70.3,"ForSale",NA
838,"Cumnock","257 Iodide Street, Broken Hill","$93,000",1,3,234.65,297.163,"ForSale",NA
839,"Oberon","24 Cattleyards Road, Harden","$120,000",1,3,152.283333333333,172.362,"ForSale",NA
841,"Broken Hill","6-8 Castlereagh St, Baradine","$119,000",1,3,747.5,1126.84,"ForSale",NA
842,"Broken Hill","17 Anzac Parade, Werris Creek","$175000",1,3,747.5,1126.84,"ForSale",NA
843,"Aberdeen","8 Purcell Drive, Narrabri","$129,000",1,3,178.466666666667,251.816,"ForSale",NA
844,"Lockhart","72 Jellicoe Street, Temora","$165,000",1,2,319.516666666667,519.498,"ForSale",NA
845,"Pooncarie","38-40 Binnia Street, Coolah","$140,000",2,5,703,1137.758,"ForSale",NA
